RI
"-5,81"
"146,92"
"143,86"
"185,10"
"74,37"
"933,45"
"182,04"
"497,42"
"572,25"
"122,48"
"496,66"
"204,19"
"139,28"
"281,31"
"532,55"
"715,81"
"594,40"
"447,02"
"253,82"
"213,35"
"366,08"
"327,90"
"570,73"
"844,10"
"188,92"
"517,27"
"608,14"
"263,75"
"405,02"
"647,85"
"686,03"
"310,33"
"782,25"
"866,25"
"679,16"
"218,70"
"607,38"
"708,94"
"699,01"
"650,14"
"621,13"
"701,31"
"653,96"
"355,39"
"338,59"
"535,60"
"837,99"
"757,81"
"789,89"
"327,13"
"66,74"
"520,33"
"912,06"
"535,60"
"394,33"
"619,60"
"715,81"
"376,00"
"760,10"
"303,46"
"634,11"
"999,88"
"865,48"
"779,19"
"847,92"
"945,66"
"670,00"
"887,63"
"807,45"
"630,29"
"612,73"
"868,54"
"884,57"
"796,76"
"712,76"
"918,94"
"654,72"
"673,82"
"784,54"
"830,36"
"911,30"
"803,63"
"828,07"
"789,12"
"925,81"
"914,36"
"875,41"
"535,60"
"252,30"
"647,85"
"225,57"
"551,64"
"430,22"
"323,31"
"721,92"
"338,59"
"288,95"
"828,07"
"305,75"
"259,93"
"531,78"
"951,77"
"744,07"
"383,64"
"181,28"
"185,86"
"269,86"
"430,98"
"521,85"
"356,91"
"338,59"
"246,95"
"211,82"
"610,43"
"204,19"
"352,33"
"692,14"
"777,67"
"538,65"
"557,74"
"818,90"
"318,73"
"332,48"
"853,27"
"178,99"
"544,00"
"303,46"
"435,57"
"632,58"
"517,27"
"219,46"
"340,88"
"256,11"
"652,43"
"672,29"
"294,30"
"220,22"
"191,21"
"230,15"
"211,82"
"235,50"
"219,46"
"243,13"
"215,64"
"295,82"
"530,25"
"418,77"
"676,11"
"760,87"
"763,92"
"531,78"
"711,23"
"618,83"
"650,91"
"786,07"
"305,75"
"747,89"
"229,39"
"556,22"
"423,35"
"401,20"
"10,99"
"309,57"
"571,49"
"441,67"
"298,11"
"435,57"
"427,93"
"678,40"
"243,13"
"239,32"
"256,11"
"568,44"
"353,86"
"634,87"
"262,22"
"350,04"
"533,31"
"426,40"
"196,55"
"414,95"
"786,07"
"527,96"
"300,40"
"519,56"
"756,29"
"854,03"
"6,41"
"531,02"
"523,38"
"514,22"
"221,75"
"382,88"
"498,18"
"227,10"
"181,28"
"217,93"
"571,49"
"564,62"
"99,57"
"613,49"
"303,46"
"271,39"
"182,04"
"298,11"
"594,40"
"217,93"
"936,50"
"598,22"
"202,66"
"276,73"
"630,29"
"258,41"
"447,02"
"185,10"
"191,21"
"279,02"
"196,55"
"304,22"
"379,82"
"550,11"
"522,62"
"233,21"
"686,03"
"364,55"
"403,49"
"517,27"
"276,73"
"442,44"
"371,42"
"771,56"
"440,15"
"173,64"
"382,11"
"374,48"
"289,71"
"610,43"
"327,13"
"785,30"
"430,22"
"890,68"
"559,27"
